variableName,variableDescription
"improved_grades","(9/9) What services would you accept/deny your personal information to be used for, by your higher education institution? - Improving your grades. "
"consecutive_information","(9/9) What services would you accept/deny your personal information to be used for, by your higher education institution? - Giving you consecutively information about how well you are doing in your subjects."
"vizualized_illustration","(9/9) What services would you accept/deny your personal information to be used for, by your higher education institution? - Giving you a visualized illustration of your course progress using graphs and charts."
"overview","(9/9) What services would you accept/deny your personal information to be used for, by your higher education institution? - Giving you an overview of how well you are doing in your courses compared to other students."
"personalized_feedback","(9/9) What services would you accept/deny your personal information to be used for, by your higher education institution? - Giving you personalized feedback and suggestions related to your courses."
"improving_courses","(9/9) What services would you accept/deny your personal information to be used for, by your higher education institution? - Improving the courses offered by your higher education institution."
"graduation_rates","(9/9) What services would you accept/deny your personal information to be used for, by your higher education institution? - Increasing graduation rates of your higher education institution."
"economic_gain","(9/9) What services would you accept/deny your personal information to be used for, by your higher education institution? - Economic gain through sale of your personal data."
"statoverall_1","Overall Status - New"
"statoverall_2","Overall Status - Distributed"
"statoverall_3","Overall Status - Partially Complete"
"statoverall_4","Overall Status - Complete"
"statoverall_5","Overall Status - Rejected"
